PROC_TRACEINFO,Binar OP130_Resultat_Global_v
I-B-XA1207672-190831-00589,0
I-B-XA1207672-190830-01859,0
I-B-XA1207672-190906-03148,0
I-B-XA1207672-190530-03862,0
I-B-XA1207672-190520-01031,0
I-B-XA1207672-190906-02799,0
I-B-XA1207672-190520-00910,0
I-B-XA1207672-190504-01602,0
I-B-XA1207672-190508-02295,0
I-B-XA1207672-190905-00648,0
I-B-XA1207672-190503-03666,0
I-B-XA1207672-190727-01068,0
I-B-XA1207672-190905-00787,0
I-B-XA1207672-190424-02497,0
I-B-XA1207672-190530-04229,0
I-B-XA1207672-190830-02465,0
I-B-XA1207672-190520-00892,0
I-B-XA1207672-190531-00089,0
I-B-XA1207672-190803-00364,0
I-B-XA1207672-190513-01584,0
I-B-XA1207672-190830-04134,0
I-B-XA1207672-190830-01735,0
I-B-XA1207672-190907-00384,0
I-B-XA1207672-190802-01631,0
I-B-XA1207672-190503-00151,0
I-B-XA1207672-190830-04500,0
I-B-XA1207672-190503-04110,0
I-B-XA1207672-190815-01619,0
I-B-XA1207672-190712-03360,0
I-B-XA1207672-190503-00246,0
I-B-XA1207672-190802-02408,0
I-B-XA1207672-190503-04356,0
I-B-XA1207672-190503-00892,0
I-B-XA1207672-190422-00356,0
I-B-XA1207672-190905-01478,0
I-B-XA1207672-190502-02921,0
I-B-XA1207672-190425-00035,0
I-B-XA1207672-190906-00852,0
I-B-XA1207672-190830-04894,0
I-B-XA1207672-190821-01338,0
I-B-XA1207672-190907-01416,0
I-B-XA1207672-190906-01602,0
I-B-XA1207672-190802-01801,0
I-B-XA1207672-190621-01145,0
I-B-XA1207672-190830-04782,0
I-B-XA1207672-190905-01226,0
I-B-XA1207672-190530-03655,0
I-B-XA1207672-190905-01223,0
I-B-XA1207672-190629-00729,0
I-B-XA1207672-190907-00110,0
I-B-XA1207672-190906-02363,0
I-B-XA1207672-190904-01361,0
I-B-XA1207672-190828-03474,0
I-B-XA1207672-190519-00048,0
I-B-XA1207672-190905-03301,0
I-B-XA1207672-190530-03854,0
I-B-XA1207672-190712-03530,0
I-B-XA1207672-190424-00970,0
I-B-XA1207672-190802-02800,0
I-B-XA1207672-190706-01838,0
I-B-XA1207672-190830-01861,0
I-B-XA1207672-190830-01228,0
I-B-XA1207672-190429-00798,0
I-B-XA1207672-190508-02235,0
I-B-XA1207672-190427-02322,0
I-B-XA1207672-190508-02872,0
I-B-XA1207672-190822-00450,0
I-B-XA1207672-190508-03995,0
I-B-XA1207672-190907-00844,0
I-B-XA1207672-190429-00680,0
I-B-XA1207672-190830-02657,0
I-B-XA1207672-190610-00059,0
I-B-XA1207672-190429-00102,0
I-B-XA1207672-190513-00989,0
I-B-XA1207672-190828-00878,0
I-B-XA1207672-190715-00036,0
I-B-XA1207672-190906-02808,0
I-B-XA1207672-190904-01261,0
I-B-XA1207672-190508-03921,0
I-B-XA1207672-190815-00213,0
I-B-XA1207672-190802-01000,0
I-B-XA1207672-190905-04092,0
I-B-XA1207672-190508-01923,0
I-B-XA1207672-190907-02308,0
I-B-XA1207672-190508-01961,0
I-B-XA1207672-190503-03972,0
I-B-XA1207672-190801-01986,0
I-B-XA1207672-190906-00717,0
I-B-XA1207672-190503-02835,0
I-B-XA1207672-190627-01337,0
I-B-XA1207672-190508-03357,0
I-B-XA1207672-190828-01600,0
I-B-XA1207672-190504-01466,0
I-B-XA1207672-190503-03173,0
I-B-XA1207672-190830-03086,0
I-B-XA1207672-190513-01237,0
I-B-XA1207672-190425-00073,0
I-B-XA1207672-190801-02131,0
I-B-XA1207672-190906-02673,0
I-B-XA1207672-190830-03255,0
I-B-XA1207672-190425-00096,0
I-B-XA1207672-190829-00053,0
I-B-XA1207672-190520-01264,0
I-B-XA1207672-190610-00171,0
I-B-XA1207672-190508-02373,0
I-B-XA1207672-190424-03155,0
I-B-XA1207672-190905-00946,0
I-B-XA1207672-190508-03014,0
I-B-XA1207672-190508-02803,0
I-B-XA1207672-190828-03621,0
I-B-XA1207672-190821-01079,0
I-B-XA1207672-190629-01031,0
I-B-XA1207672-190513-00594,0
I-B-XA1207672-190425-00333,0
I-B-XA1207672-190503-00134,0
I-B-XA1207672-190424-02355,0
I-B-XA1207672-190703-00820,0
I-B-XA1207672-190803-00055,0
I-B-XA1207672-190906-04039,0
I-B-XA1207672-190828-01040,0
I-B-XA1207672-190712-00734,0
I-B-XA1207672-190830-03016,0
I-B-XA1207672-190627-01262,0
I-B-XA1207672-190530-03033,0
I-B-XA1207672-190802-01183,0
I-B-XA1207672-190422-00080,0
I-B-XA1207672-190528-02018,0
I-B-XA1207672-190502-02514,0
I-B-XA1207672-190520-00146,0
I-B-XA1207672-190802-02208,0
I-B-XA1207672-190829-00324,0
I-B-XA1207672-190905-03330,0
I-B-XA1207672-190706-01801,0
I-B-XA1207672-190822-00645,0
I-B-XA1207672-190513-00616,1
I-B-XA1207672-190520-00520,0
I-B-XA1207672-190424-02718,0
I-B-XA1207672-190830-02236,0
I-B-XA1207672-190904-01563,0
I-B-XA1207672-190530-03718,0
I-B-XA1207672-190830-03081,0
I-B-XA1207672-190520-00113,0
I-B-XA1207672-190907-00005,0
I-B-XA1207672-190802-02165,0
I-B-XA1207672-190424-02219,0
I-B-XA1207672-190508-03827,0
I-B-XA1207672-190706-01219,0
I-B-XA1207672-190828-00908,0
I-B-XA1207672-190429-00865,0
I-B-XA1207672-190729-00200,0
I-B-XA1207672-190508-02367,0
I-B-XA1207672-190610-01078,0
I-B-XA1207672-190503-03485,0
I-B-XA1207672-190621-01312,0
I-B-XA1207672-190503-03958,0
I-B-XA1207672-190801-01341,0
I-B-XA1207672-190528-01768,0
I-B-XA1207672-190706-02354,0
I-B-XA1207672-190504-00714,0
I-B-XA1207672-190906-01629,0
I-B-XA1207672-190905-02406,0
I-B-XA1207672-190802-02115,0
I-B-XA1207672-190831-00257,0
I-B-XA1207672-190508-02717,0
I-B-XA1207672-190712-03625,0
I-B-XA1207672-190610-00918,0
I-B-XA1207672-190727-00737,0
I-B-XA1207672-190530-03566,0
I-B-XA1207672-190504-00361,0
I-B-XA1207672-190503-03397,0
I-B-XA1207672-190508-01875,0
I-B-XA1207672-190830-04876,0
I-B-XA1207672-190429-00762,0
I-B-XA1207672-190712-00753,0
I-B-XA1207672-190503-00415,0
I-B-XA1207672-190905-01021,0
I-B-XA1207672-190504-00284,0
I-B-XA1207672-190429-01075,0
I-B-XA1207672-190906-03983,0
I-B-XA1207672-190830-03049,0
I-B-XA1207672-190815-01253,0
I-B-XA1207672-190907-01296,0
I-B-XA1207672-190802-02771,0
I-B-XA1207672-190504-00849,0
I-B-XA1207672-190504-01293,0
I-B-XA1207672-190828-02040,0
I-B-XA1207672-190905-01168,0
I-B-XA1207672-190715-00301,0
I-B-XA1207672-190802-02832,0
I-B-XA1207672-190905-03126,0
I-B-XA1207672-190828-03389,0
I-B-XA1207672-190424-02628,0
I-B-XA1207672-190528-03044,0
I-B-XA1207672-190429-00301,0
I-B-XA1207672-190906-00899,0
I-B-XA1207672-190429-01038,0
I-B-XA1207672-190424-00925,0
I-B-XA1207672-190422-00046,0
I-B-XA1207672-190513-00451,0
I-B-XA1207672-190905-04331,0
I-B-XA1207672-190828-01608,0
I-B-XA1207672-190621-01299,0
I-B-XA1207672-190905-03787,0
I-B-XA1207672-190830-04472,0
I-B-XA1207672-190802-02181,0
I-B-XA1207672-190815-00882,0
I-B-XA1207672-190531-00039,0
I-B-XA1207672-190907-00841,0
I-B-XA1207672-190729-00257,0
I-B-XA1207672-190715-00561,0
I-B-XA1207672-190627-01903,0
I-B-XA1207672-190815-00607,0
I-B-XA1207672-190502-01405,0
I-B-XA1207672-190610-00791,0
I-B-XA1207672-190802-01009,0
I-B-XA1207672-190528-02080,0
I-B-XA1207672-190907-02438,0
I-B-XA1207672-190502-02158,0
I-B-XA1207672-190502-02798,0
I-B-XA1207672-190424-02441,0
I-B-XA1207672-190508-02673,0
I-B-XA1207672-190830-00732,0
I-B-XA1207672-190615-01602,0
I-B-XA1207672-190712-01404,0
I-B-XA1207672-190830-01889,0
I-B-XA1207672-190713-00580,0
I-B-XA1207672-190715-00619,0
I-B-XA1207672-190610-00520,0
I-B-XA1207672-190815-00170,0
I-B-XA1207672-190503-00907,0
I-B-XA1207672-190906-03892,0
I-B-XA1207672-190502-02186,0
I-B-XA1207672-190503-02477,0
I-B-XA1207672-190706-02361,0
I-B-XA1207672-190520-00431,0
I-B-XA1207672-190906-01311,0
I-B-XA1207672-190530-04220,0
I-B-XA1207672-190424-02755,0
I-B-XA1207672-190828-03149,0
I-B-XA1207672-190429-01222,0
I-B-XA1207672-190815-01574,0
I-B-XA1207672-190502-02790,0
I-B-XA1207672-190508-03073,0
I-B-XA1207672-190830-01659,0
I-B-XA1207672-190504-00064,0
I-B-XA1207672-190520-01062,0
I-B-XA1207672-190801-02523,0
I-B-XA1207672-190801-01410,0
I-B-XA1207672-190906-03005,0
I-B-XA1207672-190714-00029,0
I-B-XA1207672-190703-01059,0
I-B-XA1207672-190829-00334,0
I-B-XA1207672-190905-00507,0
I-B-XA1207672-190527-00197,0
I-B-XA1207672-190629-00867,0
I-B-XA1207672-190508-03239,0
I-B-XA1207672-190907-00875,0
I-B-XA1207672-190508-01947,0
I-B-XA1207672-190906-00308,0
I-B-XA1207672-190513-00420,0
I-B-XA1207672-190713-00798,0
I-B-XA1207672-190503-00146,0
I-B-XA1207672-190425-00136,0
I-B-XA1207672-190802-01001,0
I-B-XA1207672-190727-01519,0
I-B-XA1207672-190801-02382,0
I-B-XA1207672-190907-02100,0
I-B-XA1207672-190802-00100,0
I-B-XA1207672-190706-02616,0
I-B-XA1207672-190528-02199,0
I-B-XA1207672-190508-03199,0
I-B-XA1207672-190610-00284,0
I-B-XA1207672-190830-03961,0
I-B-XA1207672-190828-01128,0
I-B-XA1207672-190530-03812,0
I-B-XA1207672-190905-04198,0
I-B-XA1207672-190906-00743,0
I-B-XA1207672-190801-01009,0
I-B-XA1207672-190528-03050,0
I-B-XA1207672-190502-01170,0
I-B-XA1207672-190513-00025,0
I-B-XA1207672-190712-01113,0
I-B-XA1207672-190712-03279,0
I-B-XA1207672-190803-00313,0
I-B-XA1207672-190906-01302,0
I-B-XA1207672-190610-00839,0
I-B-XA1207672-190508-02177,0
I-B-XA1207672-190425-00037,0
I-B-XA1207672-190504-00656,0
I-B-XA1207672-190503-00496,0
I-B-XA1207672-190801-01075,0
I-B-XA1207672-190907-01278,0
I-B-XA1207672-190425-00839,0
I-B-XA1207672-190528-02147,0
I-B-XA1207672-190429-01127,0
I-B-XA1207672-190905-04257,0
I-B-XA1207672-190508-01213,0
I-B-XA1207672-190828-01863,0
I-B-XA1207672-190610-00079,0
I-B-XA1207672-190905-03092,0
I-B-XA1207672-190703-00977,0
I-B-XA1207672-190503-03042,0
I-B-XA1207672-190508-01890,0
I-B-XA1207672-190802-00592,0
I-B-XA1207672-190905-01369,0
I-B-XA1207672-190830-04225,0
I-B-XA1207672-190429-01003,0
I-B-XA1207672-190520-00362,0
I-B-XA1207672-190429-00373,0
I-B-XA1207672-190502-02787,0
I-B-XA1207672-190508-02832,0
I-B-XA1207672-190907-01634,0
I-B-XA1207672-190530-03076,0
I-B-XA1207672-190815-00760,0
I-B-XA1207672-190627-01314,0
I-B-XA1207672-190727-00992,0
I-B-XA1207672-190906-03119,0
I-B-XA1207672-190713-00004,0
I-B-XA1207672-190425-00700,0
I-B-XA1207672-190802-02593,0
I-B-XA1207672-190703-01072,0
I-B-XA1207672-190503-03021,0
I-B-XA1207672-190801-02142,0
I-B-XA1207672-190815-01625,0
I-B-XA1207672-190715-00369,0
I-B-XA1207672-190424-02982,0
I-B-XA1207672-190905-03069,0
I-B-XA1207672-190508-02668,0
I-B-XA1207672-190801-01815,0
I-B-XA1207672-190829-00035,0
I-B-XA1207672-190503-00118,0
I-B-XA1207672-190815-00026,0
I-B-XA1207672-190907-01518,0
I-B-XA1207672-190513-00115,0
I-B-XA1207672-190424-02819,0
I-B-XA1207672-190502-02819,0
I-B-XA1207672-190528-02637,0
I-B-XA1207672-190822-00563,0
I-B-XA1207672-190502-02601,0
I-B-XA1207672-190429-00588,0
I-B-XA1207672-190905-01206,0
I-B-XA1207672-190830-01244,0
I-B-XA1207672-190609-00043,0
I-B-XA1207672-190504-01204,0
I-B-XA1207672-190504-00167,0
I-B-XA1207672-190821-01399,0
I-B-XA1207672-190621-01311,0
I-B-XA1207672-190907-01265,0
I-B-XA1207672-190503-03774,0
I-B-XA1207672-190508-02541,0
I-B-XA1207672-190815-01542,0
I-B-XA1207672-190906-03410,0
I-B-XA1207672-190528-01472,0
I-B-XA1207672-190706-01661,1
I-B-XA1207672-190706-02221,0
I-B-XA1207672-190907-02152,0
I-B-XA1207672-190627-01512,0
I-B-XA1207672-190906-02909,0
I-B-XA1207672-190712-01485,0
I-B-XA1207672-190503-02411,0
I-B-XA1207672-190425-00518,0
I-B-XA1207672-190703-01000,0
I-B-XA1207672-190830-01705,0
I-B-XA1207672-190906-01795,0
I-B-XA1207672-190610-00374,0
I-B-XA1207672-190905-01322,0
I-B-XA1207672-190801-00987,0
I-B-XA1207672-190803-00048,0
I-B-XA1207672-190503-00755,0
I-B-XA1207672-190830-03841,0
I-B-XA1207672-190801-02162,0
I-B-XA1207672-190906-02080,0
I-B-XA1207672-190831-00293,0
I-B-XA1207672-190801-01396,0
I-B-XA1207672-190712-01679,0
I-B-XA1207672-190905-00757,0
I-B-XA1207672-190905-01346,0
I-B-XA1207672-190504-01618,0
I-B-XA1207672-190712-03429,0
I-B-XA1207672-190801-01795,0
I-B-XA1207672-190907-01953,0
I-B-XA1207672-190504-01435,0
I-B-XA1207672-190907-01162,0
I-B-XA1207672-190830-04853,0
I-B-XA1207672-190828-00819,0
I-B-XA1207672-190503-03032,0
I-B-XA1207672-190508-02253,0
I-B-XA1207672-190906-01262,0
I-B-XA1207672-190907-00250,0
I-B-XA1207672-190828-01344,0
I-B-XA1207672-190530-04219,0
I-B-XA1207672-190831-00146,0
I-B-XA1207672-190424-03091,0
I-B-XA1207672-190508-01977,0
I-B-XA1207672-190508-02919,0
I-B-XA1207672-190831-00424,0
I-B-XA1207672-190727-01584,0
I-B-XA1207672-190712-03161,0
I-B-XA1207672-190508-02733,0
I-B-XA1207672-190831-00777,0
I-B-XA1207672-190621-03231,0
I-B-XA1207672-190527-00332,0
I-B-XA1207672-190503-00437,0
I-B-XA1207672-190904-01390,0
I-B-XA1207672-190422-00732,0
I-B-XA1207672-190504-00958,0
I-B-XA1207672-190801-01738,0
I-B-XA1207672-190504-01087,0
I-B-XA1207672-190802-00961,0
I-B-XA1207672-190513-00286,0
I-B-XA1207672-190712-03989,0
I-B-XA1207672-190821-01052,0
I-B-XA1207672-190815-00780,0
I-B-XA1207672-190503-03836,0
I-B-XA1207672-190713-00122,0
I-B-XA1207672-190422-00253,0
I-B-XA1207672-190907-01652,0
I-B-XA1207672-190429-01247,0
I-B-XA1207672-190905-00589,0
I-B-XA1207672-190727-01650,0
I-B-XA1207672-190422-00644,0
I-B-XA1207672-190627-01387,0
I-B-XA1207672-190508-02825,0
I-B-XA1207672-190429-00028,0
I-B-XA1207672-190828-01759,0
I-B-XA1207672-190904-01210,0
I-B-XA1207672-190424-02076,0
I-B-XA1207672-190815-00984,0
I-B-XA1207672-190906-01745,0
I-B-XA1207672-190712-03909,0
I-B-XA1207672-190424-02543,0
I-B-XA1207672-190530-03046,0
I-B-XA1207672-190830-02648,0
I-B-XA1207672-190527-00880,0
I-B-XA1207672-190701-00515,0
I-B-XA1207672-190520-00939,0
I-B-XA1207672-190502-02717,0
I-B-XA1207672-190502-02940,0
I-B-XA1207672-190530-03902,0
I-B-XA1207672-190513-01203,0
I-B-XA1207672-190802-00604,0
I-B-XA1207672-190429-00731,0
I-B-XA1207672-190531-00162,0
I-B-XA1207672-190513-00361,0
I-B-XA1207672-190425-00246,0
I-B-XA1207672-190906-01144,0
I-B-XA1207672-190513-01544,0
I-B-XA1207672-190905-01011,0
I-B-XA1207672-190828-03350,0
I-B-XA1207672-190706-01293,0
I-B-XA1207672-190502-02379,0
I-B-XA1207672-190513-00688,1
I-B-XA1207672-190502-02566,0
I-B-XA1207672-190503-00737,0
I-B-XA1207672-190712-01867,0
I-B-XA1207672-190621-00774,0
I-B-XA1207672-190528-01460,0
I-B-XA1207672-190830-00671,0
I-B-XA1207672-190508-02162,0
I-B-XA1207672-190503-00288,0
I-B-XA1207672-190504-00579,0
I-B-XA1207672-190713-00147,0
I-B-XA1207672-190815-00328,0
I-B-XA1207672-190905-00593,0
I-B-XA1207672-190904-01668,0
I-B-XA1207672-190715-00198,0
I-B-XA1207672-190905-03164,0
I-B-XA1207672-190629-01016,0
I-B-XA1207672-190802-02992,0
I-B-XA1207672-190713-00390,0
I-B-XA1207672-190713-00422,0
I-B-XA1207672-190802-02450,0
I-B-XA1207672-190610-00729,0
I-B-XA1207672-190830-02382,0
I-B-XA1207672-190906-00113,0
I-B-XA1207672-190610-01118,0
I-B-XA1207672-190906-00540,0
I-B-XA1207672-190907-00728,0
I-B-XA1207672-190425-00093,0
I-B-XA1207672-190503-00351,0
I-B-XA1207672-190520-01230,0
I-B-XA1207672-190906-02887,0
I-B-XA1207672-190905-03225,0
I-B-XA1207672-190727-01496,0
I-B-XA1207672-190513-00487,0
I-B-XA1207672-190831-00657,0
I-B-XA1207672-190531-00134,0
I-B-XA1207672-190830-04858,0
I-B-XA1207672-190831-00512,0
I-B-XA1207672-190706-02514,0
I-B-XA1207672-190503-00856,0
I-B-XA1207672-190530-03228,0
I-B-XA1207672-190503-00510,0
I-B-XA1207672-190907-00224,0
I-B-XA1207672-190821-01208,0
I-B-XA1207672-190530-03295,0
I-B-XA1207672-190715-00556,0
I-B-XA1207672-190706-02040,0
I-B-XA1207672-190803-00565,0
I-B-XA1207672-190815-00174,0
I-B-XA1207672-190621-01371,0
I-B-XA1207672-190907-00076,0
I-B-XA1207672-190610-00555,0
I-B-XA1207672-190615-01715,0
I-B-XA1207672-190713-00838,0
I-B-XA1207672-190828-03441,0
I-B-XA1207672-190504-00338,0
I-B-XA1207672-190713-00508,0
I-B-XA1207672-190424-02938,0
I-B-XA1207672-190830-00849,0
I-B-XA1207672-190802-02952,0
I-B-XA1207672-190520-00463,0
I-B-XA1207672-190801-02495,0
I-B-XA1207672-190712-01569,0
I-B-XA1207672-190801-02147,0
I-B-XA1207672-190906-03550,0
I-B-XA1207672-190503-02335,0
I-B-XA1207672-190627-01731,0
I-B-XA1207672-190424-03145,0
I-B-XA1207672-190830-00941,0
I-B-XA1207672-190801-02360,0
I-B-XA1207672-190520-01277,0
I-B-XA1207672-190904-01731,0
I-B-XA1207672-190906-03357,0
I-B-XA1207672-190904-01008,0
I-B-XA1207672-190905-00512,0
I-B-XA1207672-190906-03383,0
I-B-XA1207672-190706-02371,0
I-B-XA1207672-190425-00479,0
I-B-XA1207672-190907-00780,0
I-B-XA1207672-190629-00785,0
I-B-XA1207672-190520-00450,0
I-B-XA1207672-190504-00394,0
I-B-XA1207672-190508-02477,0
I-B-XA1207672-190712-03864,0
I-B-XA1207672-190906-02758,0
I-B-XA1207672-190905-03513,0
I-B-XA1207672-190830-01832,0
I-B-XA1207672-190503-03973,0
I-B-XA1207672-190422-00688,0
I-B-XA1207672-190503-01007,0
I-B-XA1207672-190520-00471,0
I-B-XA1207672-190713-00057,0
I-B-XA1207672-190907-01202,0
I-B-XA1207672-190629-00710,0
I-B-XA1207672-190906-02755,0
I-B-XA1207672-190503-02715,0
I-B-XA1207672-190830-03253,0
I-B-XA1207672-190831-00362,0
I-B-XA1207672-190621-03315,0
I-B-XA1207672-190703-01068,0
I-B-XA1207672-190429-01105,0
I-B-XA1207672-190802-02680,0
I-B-XA1207672-190528-03376,0
I-B-XA1207672-190424-03176,0
I-B-XA1207672-190907-02482,0
I-B-XA1207672-190802-01796,0
I-B-XA1207672-190828-01250,0
I-B-XA1207672-190508-02511,0
I-B-XA1207672-190422-00156,0
I-B-XA1207672-190830-01067,0
I-B-XA1207672-190907-02505,0
I-B-XA1207672-190429-00283,0
I-B-XA1207672-190830-00775,0
I-B-XA1207672-190530-03427,0
I-B-XA1207672-190504-00969,0
I-B-XA1207672-190503-03596,0
I-B-XA1207672-190429-00576,0
I-B-XA1207672-190828-02129,0
I-B-XA1207672-190906-03562,0
I-B-XA1207672-190712-01825,0
I-B-XA1207672-190627-01144,0
I-B-XA1207672-190513-01365,0
I-B-XA1207672-190706-01233,0
I-B-XA1207672-190429-00491,0
I-B-XA1207672-190802-02519,0
I-B-XA1207672-190830-01571,0
I-B-XA1207672-190907-01601,0
I-B-XA1207672-190508-02551,0
I-B-XA1207672-190504-01284,0
I-B-XA1207672-190801-03703,0
I-B-XA1207672-190829-00698,0
I-B-XA1207672-190830-05065,0
I-B-XA1207672-190802-00798,0
I-B-XA1207672-190504-01213,0
I-B-XA1207672-190508-02186,0
I-B-XA1207672-190429-00899,0
I-B-XA1207672-190905-01196,0
I-B-XA1207672-190815-00280,0
I-B-XA1207672-190706-02057,0
I-B-XA1207672-190828-00922,0
I-B-XA1207672-190802-01247,0
I-B-XA1207672-190703-01123,0
I-B-XA1207672-190503-03842,0
I-B-XA1207672-190424-02964,0
I-B-XA1207672-190828-03224,0
I-B-XA1207672-190829-00197,0
I-B-XA1207672-190712-03656,0
I-B-XA1207672-190429-00077,0
I-B-XA1207672-190712-01242,0
I-B-XA1207672-190424-02484,1
I-B-XA1207672-190715-00614,0
I-B-XA1207672-190830-04896,0
I-B-XA1207672-190513-01580,0
I-B-XA1207672-190627-01589,0
