PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
I-B-XA1207672-190712-03057,172.1,171.84,185.6,115.01,11.83,12.25,,11.97,6.61,24.53,15.7,105.19,6.63
I-B-XA1207672-190503-02200,171.8,169.09,166.4,108.81,12.07,12.24,,11.97,6.6,24.13,17.9,99.84,6.6
I-B-XA1207672-190424-02987,190.7,178.85,159.8,111.83,12.05,12.39,,11.97,6.61,23.87,8.7,101.41,6.6
I-B-XA1207672-190828-00942,162.1,155.53,156.9,119.08,12.13,12.28,0.4,11.97,6.41,21.36,14.7,96.01,6.41
I-B-XA1207672-190906-03232,174.9,136.84,197.9,111.79,12.05,12.28,0.41,11.97,6.42,24.67,14.2,97.42,6.38
I-B-XA1207672-190801-01088,158.3,152.3,141.2,109.73,11.82,12.26,0.38,11.97,6.61,24.88,17.7,103.45,6.62
I-B-XA1207672-190503-04221,146.1,154.84,148.3,113.15,12.09,12.19,,11.97,6.62,22.18,19.3,98.63,6.61
I-B-XA1207672-190424-02297,197.4,177.68,140.4,112.75,12.06,12.19,,11.97,6.55,23.9,15.8,105.92,6.61
I-B-XA1207672-190906-03762,175.2,156.01,176.4,120.24,12.04,12.19,0.41,11.97,6.41,21.49,22.6,98.14,6.42
I-B-XA1207672-190712-03650,184.2,166.41,176.9,114.84,11.83,12.29,,11.97,6.62,28.2,11.9,100.45,6.61
I-B-XA1207672-190815-00048,149.9,153.16,127.4,117.45,11.83,12.25,0.36,11.97,6.6,24.56,27.6,104.36,6.61
I-B-XA1207672-190907-00496,183.5,135.72,168.4,109.89,12.06,12.35,0.41,11.97,6.41,22.14,12.5,100.14,6.4
I-B-XA1207672-190504-00205,155,169.7,186.4,116.7,12.09,12.27,,11.97,6.63,25.77,14.5,102.3,6.63
I-B-XA1207672-190801-01671,141.4,145.48,173.6,107.58,11.85,12.28,0.38,11.97,6.61,26.43,17.6,102.38,6.62
I-B-XA1207672-190905-02383,169.2,136.6,142.1,115.21,12.1,12.29,0.41,11.97,6.41,23.25,16,100.79,6.41
I-B-XA1207672-190503-00916,150.5,173.73,177.6,112.63,12.06,12.26,,11.97,6.62,22.11,20.5,99.46,6.61
I-B-XA1207672-190424-02962,183.7,174.38,177.9,111.6,12.05,12.2,,11.97,6.62,26.79,21.9,102.61,6.61
I-B-XA1207672-190815-00435,137.8,156.97,132.4,116.85,11.83,12.24,0.36,11.97,6.61,24.72,21.5,100.81,6.62
I-B-XA1207672-190801-02330,153.2,163.19,156.1,112.11,11.81,12.19,0.34,11.97,6.6,24.99,18.1,93.97,6.62
I-B-XA1207672-190815-01205,131.7,158.52,150.6,116.74,11.83,12.21,0.38,11.97,6.62,26.61,27.1,100.89,6.61
I-B-XA1207672-190905-01437,184.7,150.75,167.7,114.47,12.11,12.25,0.41,11.97,6.44,24.83,13.7,103.36,6.43
I-B-XA1207672-190906-01625,157,156.06,175.9,114.56,12.03,12.2,0.38,11.97,6.41,27.1,21.6,103.75,6.43
I-B-XA1207672-190703-00879,156.3,164.28,157,113.71,11.75,12.3,,11.97,6.62,26.6,13.8,102.36,6.61
I-B-XA1207672-190830-04810,175.5,143.75,166.1,112.84,12.13,12.25,0.39,11.97,6.41,17.91,36.1,80.77,6.4
I-B-XA1207672-190627-01408,178.9,150.86,166,110.65,11.69,12.25,,11.97,6.6,23.8,11,94.55,6.62
I-B-XA1207672-190621-01202,176.2,164.14,153.6,115.53,11.88,12.25,,11.97,6.62,25.68,16,95.77,6.62
I-B-XA1207672-190502-02618,146.4,166.3,160.4,114.2,12.06,12.42,,11.97,6.62,19.99,14,96.73,6.64
I-B-XA1207672-190703-00893,142.4,153.45,178.7,115.04,11.78,12.2,,11.97,6.61,25.48,40.2,105.59,6.6
I-B-XA1207672-190422-00425,189.6,165.59,171.3,114.3,12.09,12.18,,11.97,6.61,23.19,35.9,97.9,6.6
I-B-XA1207672-190907-02180,134.9,151.94,169.3,116.9,12.06,12.25,0.41,11.97,6.41,24.72,18.3,97.63,6.41
I-B-XA1207672-190627-00860,175,135.05,197.9,112.98,11.73,12.26,,11.97,6.61,24.05,15,100.71,6.13
I-B-XA1207672-190627-01254,148.2,161.18,190.2,112.85,11.68,12.33,,11.97,6.6,23.93,14.7,94.17,6.61
I-B-XA1207672-190528-02101,161,168.43,149.7,106.22,11.87,12.28,,11.98,6.62,26.34,25.2,98.86,6.6
I-B-XA1207672-190528-02369,163.7,148.71,138.6,112.8,11.9,12.25,,11.97,6.62,24.65,16,98.85,6.61
I-B-XA1207672-190508-03004,175,169.23,164.8,122.77,12.09,12.19,,11.97,6.64,24.61,15.9,109.29,6.61
I-B-XA1207672-190503-02268,174.8,173.68,151.7,113.43,12.06,12.24,,11.97,6.62,22.29,15.6,93.85,6.61
I-B-XA1207672-190907-01346,144.1,149.84,136.2,116.66,12.05,12.2,0.41,11.97,6.4,21.45,22,93.61,6.41
I-B-XA1207672-190815-00446,154.2,160.19,139.6,113.68,11.83,12.35,0.37,11.97,6.61,27.03,40.6,97.74,6.6
I-B-XA1207672-190821-01251,163,164.14,164.1,117.66,11.81,12.21,0.4,11.97,6.61,24.08,21.9,108.13,6.61
I-B-XA1207672-190502-02499,142.5,151.49,150.2,113.28,12.09,12.34,,11.98,6.62,23.55,16.9,97.27,6.61
I-B-XA1207672-190621-01463,151.1,164.07,157.3,118.81,11.86,12.27,,11.97,6.6,24.38,15,95.1,6.61
I-B-XA1207672-190425-00019,155.9,176.95,178.1,110.5,12.06,12.21,,11.97,6.6,23.48,18.6,98.85,6.62
I-B-XA1207672-190715-00342,163.8,144.46,176.3,111.62,11.86,12.26,,11.97,6.6,26.75,17.9,103.31,6.61
I-B-XA1207672-190429-00219,182.9,167.39,197.5,113.06,12.07,12.14,,11.97,6.6,21.28,21.5,96.21,6.51
I-B-XA1207672-190530-03299,158.1,151.87,176.4,108.95,11.91,12.26,,11.97,6.62,24.28,14.9,93.66,6.62
I-B-XA1207672-190905-01556,166.2,160.3,157.6,110.3,12.1,12.16,0.41,11.97,6.4,22.24,19.7,99.4,6.44
I-B-XA1207672-190815-01433,141.4,176.61,139.2,112.92,11.82,12.14,0.38,11.97,6.61,27.47,19.5,106.76,6.61
I-B-XA1207672-190528-03446,145,165.84,154.7,110.89,11.88,12.37,,11.97,6.6,23.55,15.7,88.78,6.61
I-B-XA1207672-190712-01335,137.1,142.85,191,112.88,11.86,12.26,,11.97,6.6,26.22,18.4,99.27,6.62
I-B-XA1207672-190906-03729,157.4,138.05,132.6,113.21,12.07,12.24,0.41,11.97,6.41,23.62,17.4,103.46,6.4
I-B-XA1207672-190905-01453,165.3,146.59,159.1,114.44,12.09,12.17,0.41,11.97,6.4,22.77,18,102.53,6.41
I-B-XA1207672-190706-01988,183.8,145.7,197.5,112.32,11.78,12.24,,11.97,6.6,24.57,12.4,97.19,6.38
I-B-XA1207672-190528-01715,155.4,171.28,165.9,112.58,11.87,12.27,,11.97,6.62,24.07,32.9,93.92,6.62
I-B-XA1207672-190906-03062,180,133.15,165.3,118.3,12.05,12.33,0.41,11.97,6.4,21.12,25.4,102.44,6.42
I-B-XA1207672-190425-00325,146.3,174.26,172,113.93,12.07,12.2,,11.97,6.6,23.51,14.3,104.29,6.61
I-B-XA1207672-190802-01479,166,144.36,153.1,111.27,11.84,12.35,0.35,11.97,6.61,25.3,18.4,103.34,6.61
I-B-XA1207672-190513-00180,175.6,175.34,141.3,112.4,11.89,12.39,,11.97,6.63,25.97,9.7,94.17,6.63
I-B-XA1207672-190801-01403,167.3,159.75,154.4,114.91,11.82,12.24,0.36,11.97,6.6,26.64,13.4,97.92,6.61
I-B-XA1207672-190801-01785,151.7,142.43,168,110.71,11.83,12.27,0.38,11.97,6.61,26.11,12.8,103.81,6.61
I-B-XA1207672-190429-00808,175.4,180,169.8,116.64,12.06,12.17,,11.98,6.62,23.59,16,105.1,6.61
I-B-XA1207672-190829-00349,166.3,144.51,156.3,112.43,12.1,12.22,0.4,11.97,6.4,18.56,35.7,84.77,6.41
I-B-XA1207672-190527-00345,155.7,175.91,165.5,109.96,11.89,12.25,,11.98,6.6,24.69,13.7,98.54,6.61
I-B-XA1207672-190801-01155,162.5,141.89,137.1,112.77,11.83,12.21,0.38,11.98,6.61,27.05,33.9,102.07,6.61
I-B-XA1207672-190703-01064,165.5,163.17,163.3,112.55,11.76,12.26,,11.97,6.6,27.1,11.4,104.43,6.63
I-B-XA1207672-190530-03828,148.3,168.94,156.8,114.16,11.87,12.26,,11.97,6.62,25.09,14.7,90.15,6.61
I-B-XA1207672-190424-02015,158.7,168.8,161.5,112,12.07,12.23,,11.97,6.62,22.01,16.3,102.42,6.6
I-B-XA1207672-190511-01070,147.7,159.09,161.5,122.65,11.95,12.33,,11.97,6.62,22.62,12.3,112.06,6.61
I-B-XA1207672-190803-00184,166,166,169.7,111.31,11.79,12.23,0.39,11.97,6.61,26.82,11.6,104,6.6
I-B-XA1207672-190713-00098,176.1,152.12,186.8,117.56,11.86,12.27,,11.97,6.62,27.77,15.3,107.16,6.6
I-B-XA1207672-190802-02818,148.1,158.28,150.3,103.79,11.82,12.45,0.36,11.97,6.61,26.06,18.8,102.16,6.61
I-B-XA1207672-190422-00490,166.6,167.14,181.6,115.75,12.09,12.26,,11.97,6.61,20.97,24,99.03,6.6
I-B-XA1207672-190429-00067,163.4,184.97,195.4,111.38,12.06,12.21,,11.98,6.62,24.74,19.4,106.85,6.63
I-B-XA1207672-190504-00981,139.3,153.5,166.7,122.51,12.09,12.22,,11.97,6.62,26.46,15.5,103.18,6.6
I-B-XA1207672-190424-02744,165.2,168.11,180.7,116.93,12.06,12.18,,11.97,6.61,22.16,14.3,101.74,6.6
I-B-XA1207672-190802-01558,130,160.13,168,106.32,11.83,12.22,0.37,11.98,6.61,25.79,18.8,99.7,6.61
I-B-XA1207672-190424-02308,121.5,163.08,165.8,113.85,12.07,12.2,,11.97,6.61,22,12.5,102.13,6.62
I-B-XA1207672-190906-03208,157.1,152.48,147.1,113.79,12.03,12.25,0.41,11.97,6.41,23.36,15.4,107.2,6.41
I-B-XA1207672-190830-02936,144,157.11,144.3,112.56,12.1,12.2,0.4,11.97,6.41,19.57,15.5,93.54,6.41
I-B-XA1207672-190906-02158,151.2,158.65,156.3,115.76,12.04,12.23,0.41,11.97,6.41,23.9,15.7,104.21,6.41
I-B-XA1207672-190530-03575,159.6,168.25,162.8,107.08,11.89,12.23,,11.97,6.62,24.74,12.9,89.1,6.61
I-B-XA1207672-190906-00498,174.4,132.35,130.6,108.24,12.04,12.22,0.41,11.97,6.41,21.75,14.4,94.87,6.41
I-B-XA1207672-190802-02376,185.8,154.19,187.5,116.29,11.83,12.26,0.36,11.97,6.61,23.03,18.2,94.45,6.61
I-B-XA1207672-190424-02884,192.8,179.22,129.7,111.01,12.05,12.26,,11.97,6.62,24.69,22.4,103.14,6.61
I-B-XA1207672-190712-03169,193.5,168.19,168.5,114.06,11.82,12.18,,11.97,6.61,28.43,22.5,100.39,6.63
I-B-XA1207672-190831-00291,132.9,140.56,158.4,110.94,12.12,12.3,0.4,11.97,6.41,18.27,11.5,80.66,6.41
I-B-XA1207672-190905-00805,137.8,150.25,134.3,115.14,12.1,12.24,0.41,11.97,6.42,22.09,19.5,93.4,6.4
I-B-XA1207672-190422-00685,170.3,166.13,160.5,118.39,12.1,12.28,,11.97,6.61,22.83,20.5,97.3,6.61
I-B-XA1207672-190629-00883,168.7,164.28,161.2,117.56,11.68,12.34,,11.97,6.6,28.86,15.6,113.29,6.61
I-B-XA1207672-190907-01163,156,138.15,143.3,113.62,12.06,12.2,0.41,11.97,6.41,24.07,18.1,103.04,6.4
I-B-XA1207672-190504-00827,163.5,156.44,174.8,110.69,12.09,12.28,,11.97,6.62,24.96,9,101.17,6.61
I-B-XA1207672-190828-01475,147.7,150.75,150.3,113.67,12.13,12.23,0.39,11.97,6.41,21.26,16.5,95.39,6.41
I-B-XA1207672-190511-01108,162,171.34,164.1,112.65,11.93,12.24,,11.97,6.62,23.83,16.5,98.86,6.61
I-B-XA1207672-190830-02429,138.1,154.47,161.5,112.77,12.1,12.24,0.39,11.97,6.4,18.74,14.4,81.85,6.41
I-B-XA1207672-190701-00630,147.2,151.75,177,108.91,11.74,12.24,,11.97,6.62,26.99,13.8,107.18,6.6
I-B-XA1207672-190621-01014,146.5,158.35,169.2,118.44,11.88,12.29,,11.97,6.63,24.59,11.8,92.96,6.61
I-B-XA1207672-190906-04003,150.4,153.41,156,110.04,12.04,12.27,0.41,11.97,6.42,21.88,18.2,99.22,6.44
I-B-XA1207672-190508-01133,160,154,167.6,119.86,12.09,12.37,,11.97,6.61,22.46,10.3,98.92,6.62
I-B-XA1207672-190528-03142,138.6,173.37,170.1,108.34,11.88,12.22,,11.98,6.62,21.64,23.1,92.72,6.61
I-B-XA1207672-190424-02951,167.9,173.88,179.1,114.16,12.06,12.27,,11.97,6.62,25.49,11.1,99.42,6.61
I-B-XA1207672-190527-00842,164.3,172.52,147,109.17,11.9,12.31,,11.98,6.62,23.51,14.2,104.49,6.63
I-B-XA1207672-190503-02889,154.9,174.09,150.1,116.58,12.06,12.34,,11.97,6.62,27.71,13.3,97.41,6.62
I-B-XA1207672-190520-00056,162.9,174.74,161,105.03,11.89,12.21,,11.98,6.61,25.43,16.8,103.78,6.63
I-B-XA1207672-190803-00144,181.5,163.94,155.9,110.5,11.8,12.27,0.38,11.97,6.61,25.36,16.4,100.03,6.61
I-B-XA1207672-190530-03157,165.8,169.14,139.7,115.67,11.88,12.27,,11.97,6.62,25.82,15.7,88.48,6.63
I-B-XA1207672-190715-00547,166.1,145.52,148.4,111.17,11.86,12.26,,11.97,6.61,27.84,14.5,101.73,6.6
I-B-XA1207672-190801-01263,166,160,146.4,111.4,11.82,12.37,0.38,11.97,6.61,25.24,8.7,109.12,6.61
I-B-XA1207672-190713-00575,165.3,163.35,171.1,116.68,11.82,12.25,,11.97,6.6,26.68,14.1,110.2,6.6
I-B-XA1207672-190830-02369,156.2,152.37,149.6,118.21,12.09,12.21,0.36,11.97,6.4,19.22,13.3,89.37,6.43
I-B-XA1207672-190503-00438,171.1,153.66,119.4,111.07,12.08,12.28,,11.98,6.62,20.81,10.8,95.51,6.61
I-B-XA1207672-190712-03399,164.2,163.89,164.3,114.55,11.84,12.34,,11.97,6.61,28.75,10.6,102.33,6.61
I-B-XA1207672-190831-00530,148.6,154.19,196.5,113.8,12.11,12.33,0.4,11.97,6.41,20.11,15.1,88.29,6.4
I-B-XA1207672-190905-03181,171.2,156.76,157,112.29,12.09,12.29,0.41,11.97,6.41,23.6,12.9,95.04,6.4
I-B-XA1207672-190508-03449,154.6,175.28,130.4,116.46,12.07,12.13,,11.98,6.62,25.19,22.1,105.52,6.61
I-B-XA1207672-190905-03694,135.7,153.43,140.3,110.52,12.1,12.27,0.41,11.97,6.41,24.03,21.9,103.73,6.43
I-B-XA1207672-190907-02657,194.1,143.25,149.3,113.95,12.06,12.18,0.41,11.97,6.41,21.3,18.3,91.64,6.41
I-B-XA1207672-190503-04143,145.6,172.19,155,111.74,12.06,12.19,,11.97,6.62,24.51,20.6,100.36,6.63
I-B-XA1207672-190831-00402,159.8,140.97,144.4,117.31,12.13,12.26,0.4,11.97,6.41,17.07,13.9,81.72,6.4
I-B-XA1207672-190906-00675,148.4,146.57,133.2,114.9,12.03,12.25,0.41,11.97,6.42,22.23,15.8,101.45,6.41
I-B-XA1207672-190828-02965,171.7,155.62,151.8,107.94,12.11,12.24,0.38,11.97,6.41,23.81,19.5,103.04,6.42
I-B-XA1207672-190906-01737,165.5,149.73,154.7,113.25,12.04,12.15,0.41,11.97,6.42,21.89,24.2,95.39,6.41
I-B-XA1207672-190713-00345,196.3,148.95,153.6,111.03,11.84,12.24,,11.97,6.61,27.21,16.2,102.23,6.6
I-B-XA1207672-190615-01655,129.3,151.23,143.7,114.34,11.9,12.29,,11.97,6.62,22.76,14.8,91.65,6.63
I-B-XA1207672-190830-01060,133,139.7,140.6,113.48,12.11,12.37,0.39,11.97,6.41,15.59,10.1,82.85,6.42
I-B-XA1207672-190712-03603,145.2,162.41,166.7,108.34,11.86,12.28,,11.97,6.61,26.53,14,103.49,6.6
I-B-XA1207672-190715-00629,164.1,148.84,138.5,114.35,11.87,12.21,,11.97,6.61,26.36,17.3,100.19,6.62
I-B-XA1207672-190429-01303,168.9,159.85,143.3,115.5,12.07,12.35,,11.97,6.61,23.2,10.1,104.54,6.62
I-B-XA1207672-190906-01492,160.2,151.23,148.6,117.58,12.04,12.38,0.41,11.97,6.4,24.78,10.3,101.99,6.41
I-B-XA1207672-190828-01777,174.1,154.28,161.5,107.9,12.13,12.28,0.41,11.97,6.41,20.23,15.5,96.74,6.41
I-B-XA1207672-190706-02409,178.4,147.92,159.9,116.05,11.79,12.23,,11.97,6.6,24.04,19.7,93.49,6.61
I-B-XA1207672-190815-00490,131.6,166.76,133.6,110.02,11.82,12.23,0.37,11.97,6.61,26.45,16.2,101.18,6.64
I-B-XA1207672-190504-00744,166.2,153.99,154.2,126.97,12.08,12.34,,11.97,6.62,24.14,12.7,98.94,6.61
I-B-XA1207672-190815-00342,137.6,164.79,168.3,110.74,11.83,12.24,0.38,11.97,6.64,25.69,23.6,103.77,6.61
I-B-XA1207672-190712-01565,164.5,158.52,197.5,111.42,11.83,12.24,,11.97,6.61,26.33,19.7,100.68,6.36
I-B-XA1207672-190429-00084,173.3,165.35,163.4,115.23,12.08,12.26,,11.97,6.62,23.6,16.5,103.72,6.6
I-B-XA1207672-190830-02586,167,144.8,152.1,112.6,12.12,12.29,0.4,11.97,6.41,19.18,12.7,82.67,6.41
I-B-XA1207672-190830-04353,135.1,149.74,144.4,107.85,12.12,12.39,0.37,11.97,6.41,18.43,11.9,79.35,6.4
I-B-XA1207672-190503-03121,146.4,175.56,148.1,112.06,12.06,12.22,,11.97,6.61,22.35,17.2,102.38,6.61
I-B-XA1207672-190727-01518,147,168.57,162.3,111.02,11.82,12.33,0.4,11.97,6.62,24.93,13.8,104.84,6.61
I-B-XA1207672-190713-00148,197.8,147.65,171.6,116.29,11.84,12.18,,11.97,6.54,24.31,26.1,96.16,6.61
I-B-XA1207672-190502-02174,157.2,174.77,160.7,111.92,12.06,12.24,,11.98,6.6,22.68,41,91.35,6.6
I-B-XA1207672-190801-03734,157.6,133.87,156.3,110.92,11.84,12.3,0.34,11.97,6.61,23.48,13.5,92.23,6.61
I-B-XA1207672-190905-01290,164.5,152.76,149.5,113.71,12.1,12.23,0.41,11.97,6.44,24.02,13.6,100.82,6.41
I-B-XA1207672-190822-00386,169.6,158.68,151.1,116.65,11.82,12.28,0.4,11.97,6.61,27.64,20.3,97.28,6.63
I-B-XA1207672-190530-02985,171,143.78,166.5,109.49,11.9,12.16,,11.97,6.62,21.35,34.4,88.85,6.6
I-B-XA1207672-190713-00733,173.5,165.64,151.6,111.07,11.85,12.26,,11.97,6.62,27.32,11.3,112.33,6.65
I-B-XA1207672-190627-01671,160.6,140.13,158.5,112.77,11.71,12.22,,11.97,6.61,22.62,15.3,97.94,6.61
I-B-XA1207672-190508-03350,168.9,174.36,158.3,122.13,12.07,12.26,,11.97,6.62,22.68,23.7,101.57,6.61
I-B-XA1207672-190627-01322,173.2,142.04,162.9,116.93,11.73,12.42,,11.97,6.61,24.92,12.9,94.1,6.6
I-B-XA1207672-190907-01689,152.1,139.15,197.8,114.1,12.07,12.21,0.41,11.97,6.41,21.56,25,96.79,6.37
I-B-XA1207672-190907-01057,145.7,150.37,180.5,110.31,12.04,12.3,0.39,11.97,6.42,21.94,9.5,101.95,6.4
I-B-XA1207672-190530-03837,157,161.24,176.5,110.84,11.89,12.41,,11.97,6.62,21.2,11.3,85.2,6.63
I-B-XA1207672-190424-00976,186.5,164.33,159.4,117.97,12.06,12.2,,11.97,6.61,22.89,14.7,103.24,6.62
I-B-XA1207672-190907-02195,154.9,152.11,158.8,114.32,12.05,12.18,0.41,11.97,6.44,21.41,16.8,92.15,6.41
I-B-XA1207672-190906-01766,142.2,149.87,154.3,113.61,12.05,12.28,0.41,11.97,6.41,22.13,15.5,99.1,6.45
I-B-XA1207672-190425-00129,182.2,165.77,197.5,115.17,12.07,12.23,,11.97,6.63,24.86,22.4,102.51,6.44
I-B-XA1207672-190422-00089,154.7,172.63,155.9,115.1,12.1,12.18,,11.97,6.62,23.37,38.7,100.86,6.63
I-B-XA1207672-190504-01498,181,177.59,166.4,114.47,12.06,12.37,,11.98,6.62,22.91,8.6,105.14,6.61
I-B-XA1207672-190830-01669,129.1,142.86,160.2,113.3,12.13,12.2,0.39,11.97,6.41,16.62,16.4,77.85,6.4
I-B-XA1207672-190828-00776,161.3,147.62,179.4,186.31,12.13,12.36,0.41,11.97,6.41,21.01,17.3,92.66,6.43
I-B-XA1207672-190503-03415,129,159.48,165.3,109.61,12.09,12.24,,11.97,6.62,21.9,16.6,91.08,6.61
I-B-XA1207672-190906-03122,141.6,158.07,156.9,110.24,12.03,12.23,0.41,11.97,6.4,22.25,13,101.32,6.41
I-B-XA1207672-190907-00086,138.1,152.7,181.1,114.59,12.06,12.2,0.41,11.97,6.41,22.59,19.6,102.83,6.41
I-B-XA1207672-190621-01598,155.9,162.83,148.9,114.85,11.87,12.33,,11.97,6.61,23.89,13.5,92.03,6.62
I-B-XA1207672-190503-04091,163.5,173.71,170.9,110.46,12.06,12.15,,11.97,6.62,25.12,19,97.48,6.6
I-B-XA1207672-190803-00177,178.4,157.93,151.7,109.45,11.8,12.31,0.36,11.98,6.61,24.85,25,102.74,6.61
I-B-XA1207672-190513-01083,165.5,171.15,156.7,108.81,11.92,12.24,,11.97,6.62,27.61,22.3,95.54,6.61
I-B-XA1207672-190424-02919,139.5,177.9,170.4,115.23,12.06,12.18,,11.97,6.61,24.4,13.7,103.97,6.63
I-B-XA1207672-190424-00964,189.9,184.09,172.7,110.4,12.06,12.16,,11.97,6.61,23.12,30.7,101.46,6.61
I-B-XA1207672-190504-01621,156.2,157.29,179.4,113.77,12.09,12.28,,11.98,6.6,22.19,16.4,99.12,6.61
I-B-XA1207672-190830-02064,133.2,156.23,151.8,118.08,12.1,12.31,0.35,11.97,6.41,19.63,14.1,86.64,6.41
I-B-XA1207672-190703-00945,179.7,152.3,169.4,108.15,11.75,12.18,,11.97,6.61,26.11,17.6,105.74,6.61
I-B-XA1207672-190503-00207,159.1,163.81,192.7,114.24,12.08,12.23,,11.97,6.62,25.9,16.2,105.57,6.6
I-B-XA1207672-190528-03103,138.3,149.72,152.1,108.67,11.91,12.33,,11.97,6.62,22.55,12.2,89.12,6.62
I-B-XA1207672-190713-00939,155.2,159.54,176,106.87,11.84,12.34,,11.98,6.61,25.57,10.1,100.25,6.61
I-B-XA1207672-190830-01231,164,151.89,156.4,115.55,12.11,12.34,0.4,11.97,6.41,18.85,12.5,79.92,6.41
I-B-XA1207672-190520-01130,166.4,154.63,185.7,112.74,11.9,12.24,,11.97,6.62,24.13,14.3,104.73,6.61
I-B-XA1207672-190706-01690,184.3,160.87,135.9,117.44,11.75,12.34,,11.97,6.61,25.56,32.9,96.71,6.62
I-B-XA1207672-190904-01447,155.6,153.44,151.4,109.37,12.09,12.34,0.34,11.97,6.4,23.51,9.8,104,6.41
I-B-XA1207672-190627-01654,193.8,139.74,162.5,114.75,11.73,12.29,,11.97,6.61,24.21,13.5,98.6,6.6
I-B-XA1207672-190504-00672,148.2,152.05,170.7,111.99,12.09,12.17,,11.98,6.63,22.43,18.6,99.97,6.61
I-B-XA1207672-190503-00448,154.3,146.56,159.1,112.52,12.09,12.28,,11.97,6.6,20.56,12.4,96.87,6.61
I-B-XA1207672-190907-01159,163.1,153.91,168.1,111.87,12.05,12.32,0.41,11.97,6.41,22.33,21.9,102.79,6.41
I-B-XA1207672-190830-02067,173.2,150.91,151.4,110.4,12.09,12.22,0.4,11.98,6.41,19.31,12.7,90.31,6.41
I-B-XA1207672-190425-00177,171.6,185.22,163.1,111.55,12.05,12.27,,11.97,6.62,21.45,12.1,101.56,6.61
I-B-XA1207672-190527-00915,152.7,167.52,155.8,109.22,11.9,12.25,,11.98,6.6,23.19,29.2,94.69,6.61
I-B-XA1207672-190503-00258,161.3,181.71,165.9,113.03,12.06,12.25,,11.97,6.62,23.59,14,108.22,6.61
I-B-XA1207672-190712-03842,183.8,162.46,168.4,111.32,11.83,12.23,,11.98,6.61,24.74,12.9,104.15,6.61
I-B-XA1207672-190831-00002,147.1,144.06,168.2,110.61,12.13,12.25,0.39,11.97,6.41,18.14,16.8,82.69,6.41
I-B-XA1207672-190905-03471,140.6,149,150.4,114.58,12.1,12.18,0.41,11.97,6.41,23.52,14.2,94.24,6.41
